Date,Product Name,Product Category,Price (USD),Quantity Sold,Total Sales (USD),Daily Total Sales (USD)
2019-01-01,Potassium nitrate,Fertilizers,7.22,33,238.26,6814.22
2019-01-01,Glyphosate (Roundup),Pesticides,31.11,90,2799.9,6814.22
2019-01-01,Tomato seeds,Seeds,32.81,95,3116.95,6814.22
2019-01-01,Tractors,Farming Tools,34.69,19,659.11,6814.22
2019-01-02,Calcium ammonium nitrate,Fertilizers,42.36,81,3431.16,8933.41
2019-01-02,Carbaryl (Sevin),Pesticides,46.96,81,3803.76,8933.41
2019-01-02,Wheat seeds,Seeds,13.89,91,1263.99,8933.41
2019-01-02,Plows,Farming Tools,5.5,79,434.5,8933.41
2019-01-03,Potassium chloride,Fertilizers,10.99,84,923.16,5477.07
2019-01-03,Atrazine,Pesticides,13.49,27,364.23,5477.07
2019-01-03,Tomato seeds,Seeds,25.87,39,1008.93,5477.07
2019-01-03,Scythe,Farming Tools,42.41,75,3180.75,5477.07
2019-01-04,Calcium ammonium nitrate,Fertilizers,14.27,53,756.31,7442.1
2019-01-04,DDT,Pesticides,7.36,31,228.16,7442.1
2019-01-04,Bean seeds,Seeds,41.33,98,4050.34,7442.1
2019-01-04,Sickles,Farming Tools,27.67,87,2407.29,7442.1
2019-01-05,Potassium chloride,Fertilizers,9.01,97,873.97,6783.96
2019-01-05,DDT,Pesticides,30.04,33,991.32,6783.96
2019-01-05,Pea seeds,Seeds,43.99,23,1011.77,6783.96
2019-01-05,Rake,Farming Tools,43.41,90,3906.9,6783.96
2019-01-06,Calcium ammonium nitrate,Fertilizers,32.43,24,778.32,7022.13
2019-01-06,DDT,Pesticides,49.22,73,3593.06,7022.13
2019-01-06,Pea seeds,Seeds,8.21,31,254.51,7022.13
2019-01-06,Machete,Farming Tools,27.23,88,2396.24,7022.13
2019-01-07,Calcium ammonium nitrate,Fertilizers,24.1,31,747.1,5324.52
2019-01-07,Malathion,Pesticides,7.04,18,126.72,5324.52
2019-01-07,Sunflower seeds,Seeds,38.2,86,3285.2,5324.52
2019-01-07,Plows,Farming Tools,12.95,90,1165.5,5324.52
2019-01-08,Triple superphosphate,Fertilizers,13.16,40,526.4,5862.52
2019-01-08,Pyrethroids,Pesticides,47.87,15,718.05,5862.52
2019-01-08,Rice seeds,Seeds,48.87,73,3567.51,5862.52
2019-01-08,Sprayers,Farming Tools,21.44,49,1050.56,5862.52
2019-01-09,Ammonium nitrate,Fertilizers,31.55,81,2555.55,10042.369999999999
2019-01-09,Carbaryl (Sevin),Pesticides,22.27,98,2182.46,10042.369999999999
2019-01-09,Bean seeds,Seeds,12.44,87,1082.28,10042.369999999999
2019-01-09,Sickles,Farming Tools,43.98,96,4222.08,10042.369999999999
2019-01-10,Potassium nitrate,Fertilizers,35.8,19,680.2,3363.61
2019-01-10,Pyrethroids,Pesticides,20.04,72,1442.88,3363.61
2019-01-10,Corn seeds,Seeds,10.63,96,1020.48,3363.61
2019-01-10,Wheelbarrow,Farming Tools,14.67,15,220.05,3363.61
2019-01-11,Calcium ammonium nitrate,Fertilizers,26.59,48,1276.32,4730.22
2019-01-11,Imidacloprid,Pesticides,47.46,33,1566.18,4730.22
2019-01-11,Pea seeds,Seeds,12.7,88,1117.6,4730.22
2019-01-11,Tractors,Farming Tools,14.81,52,770.12,4730.22
2019-01-12,Urea,Fertilizers,36.72,85,3121.2,5810.61
